1/f 噪声	1/f noise
1054年超新星	Supernova of 1054
10米级望远镜	10-meter-class telescope
11年太阳活动周	11-year solar cycle
160分钟振荡	160-minute oscillation
2001火星奥德赛	2001 Mars Odyssey
21厘米[射电望远镜]阵	全称：21 Centimeter Array。缩写：21CMA
21厘米层析	21 cm tomography
21厘米强度映射	21 cm intensity mapping
21厘米森林	21 cm forest
21厘米线丛	21 cm forest
21厘米谱线	21cm line; twenty-one centimeter line
21厘米辐射	21-cm radiation; twenty-one centimeter radiation
22°日晕	22° halo
2度视场星系红移巡天	全称：Two-degree-Field Galaxy Redshift Survey; 2dF Galaxy Redshift Survey。缩写：2dFGRS
2度视场红移巡天	全称：Two-degree-field redshift survey。缩写：2dF Survey
2微米全天巡视	全称：Two Micron All Sky Survey。缩写：2MASS
2微米巡天	全称：Two-Micron Sky Survey; 2-μ Sky Survey。缩写：TMSS
2米级望远镜	2-meter-class telescope
30米望远镜	全称：Thirty Meter Telescope。缩写：TMT
3C射电源表	全称：Third Cambridge Catalogue of Radio Sources。缩写：3C catalogue
3K辐射	3K radiation; three-degree Kelvin radiation
4000埃跳变	4000 Å break
45°视角	octant
46°日晕	46° halo
4C星表	全称：Fourth Cambridge Survey catalogue。缩写：4C catalogue
4米级望远镜	4-meter-class telescope
500米口径球面射电望远镜	全称：Five-hundred-meter Aperture Spherical radio Telescope。缩写：FAST
6度视场星系巡天	全称：Six-degree Field Galaxy Survey; 6dF Galaxy Survey。缩写：6dFGS
6米级望远镜	6-meter-class telescope
8米级望远镜	8-meter-class telescope
90°相	phase quadrature
A1原子时	全称：Atomic Time 1。缩写：A1
ABRIXAS宽带成像X射线卫星	全称：A Broadband Imaging X-ray All-sky Survey X-ray Satellite。缩写：ABRIXAS X-ray Satellite
ADM 形式	全称：Arnowitt-Deser-Misner formalism。缩写：ADM formalism
ADS双星表	全称：Aitken's Double Star Catalogue。缩写：ADS
AGB变星	AGB variable
AGB星	全称：asymptotic branch giant。缩写：AGB star
AGK星表	1、AG catalogue; 2、全称：Astronomische Gesellschaft Katalog。缩写：AGK
APM巡天	全称：Automated Plate Measuring Survey。缩写：APM Survey
APM星系表	全称：Automatic Plate Measuring galaxy catalogue。缩写：APM galaxy catalogue
AP检验	全称：Alcock-Paczynski test。缩写：AP test
AT切割	AT-cut
Ae星	Ae star
Am星	Am star
Ap指数	Ap index
Ap星	全称：peculiar A star。缩写：Ap star
A型亚巨星	A subgiant star
A型亚矮星	A subdwarf star
A型发射线星	Ae star
A型小行星	A-type asteroid
A型巨星	A giant star
A型星	A star; A-type star
A型特殊星	全称：peculiar A star。缩写：Ap star
A型矮星	A dwarf star
A型费米碰撞	type A Fermi collision
A型超巨星	A supergiant star
A型金属线星	Am star
A系数	A coefficient
A谱带	A band
B-A型特殊星	peculiar B-A star
B-V色指数	B-V color index
B-W像切分器	Bowen-Walraven image slicer
B2FH理论	B2FH
BBGKY方程组	全称：Bogoliubov-Born-Green-Kirkwood-Yvon hierarchy。缩写：BBGKY hierarchy
BBKS转移函数	全称：Bardeen-Bond-Kaiser-Szalay transfer function。缩写：BBKS transfer function
BD星表	全称：Bonner Durchmusterung。缩写：BD
BIMA射电望远镜阵	全称：Berkeley-Illinois-Maryland Association array。缩写：BIMA array
BM区	BM area
BN天体	全称：Becklin-Neugebauer object。缩写：BN object
BP[喷流形成]机制	全称：Blanford-Payne mechanism of jet formation。缩写：BP mechanism
BV测光	BV photometry
BZ[喷流形成]机制	全称：Blanford-Znajek mechanism of jet formation。缩写：BZ mechanism
Be/X射线双星	Be/X-ray binary
Be星	Be star
Be矮星	Be dwarf
Bw型星	Bw star
B型亚矮星	1、B subdwarf; 2、subdwarf B star
B型小行星	B-type asteroid
B型弱氦线星	Bw star
B型星	B star; B-type star
B型特殊星	全称：peculiar B star。缩写：Bp star
B型费米碰撞	type B Fermi collision
B型超巨星	B supergiant
B层	B layer
B星等	B-magnitude
B星系	B galaxy
B模式偏振	B mode polarization
B系数	B coefficient
B谱带	B band
C 谱线	C line
C-S型星	C-S star
CARMA毫米波组合阵	全称：Combined Array for Research in Millimeter-wave Astronomy。缩写：CARMA
CASA通用天文软件包	全称：Common Astronomy Software Applications。缩写：CASA
CCD偏振计	CCD polarimeter
CCD光度计	CCD photometer
CCD光谱	CCD spectrum
CCD分光	CCD spectroscopy
CCD分光计	CCD spectrometer
CCD天体测量	CCD astrometry
CCD天文学	CCD astronomy
CCD子午环	CCD meridian circle
CCD成像	CCD imaging
CCD拼接	CCD mosaic
CCD探测器	CCD detector
CCD摄谱仪	CCD spectrograph
CCD条纹	CCD fringing
CCD测光	CCD photometry
CCD照相机	CCD camera
CCD观测	CCD observation
CCD辐射损伤	CCD radiation damage
CCD阵	CCD array
CFH望远镜	全称：Canada-France-Hawaii Telescope。缩写：CFHT
CFRS 巡天	全称：Canada-France redshift survey。缩写：CFRS
CH星	CH star
CIO 定位角	CIO locator
CMOS探测器	CMOS detector
CN 谱带	CN band
CN型WR星	WCN star
CN星	CN star
CONTOUR彗核探测器	全称：Comet Nucleus Tour。缩写：CONTOUR
COS-B伽马源表	COS-B Catalogue
COS-B天文卫星	COS-B
COSMOS多功能底片测量仪	COSMOS machine
COSTAR光学改正系统	全称：The Corrective Optics Space Telescope Axial Replacement。缩写：COSTAR
COS天文卫星	全称：Celestial Observation Satellite。缩写：COS
CPT不变性	全称：Charge-Parity-Time reversal invariance。缩写：CPT invariance
CP破坏	全称：Charge-Parity violation。缩写：CP violation
CTA切伦科夫望远镜阵	全称：Cherenkov Telescope Array。缩写：CTA
CaⅡ发射线	CaⅡ emission line
CfA红移巡天	CfA Redshift Survey
CⅠ发射线	CⅠ emission line
CⅡ区	CⅡ region
C型WR星	WC star
C型小行星	C-type asteroid
C星系	C galaxy
C环	Crepe ring
C谱带	C band
D 型星	D star
D-K式卡塞格林望远镜	Dall-Kirkham Cassegrain telescope
D-膜	D-brane
D2B号天文卫星	Astronomy Satellite D2B
DAMA碘化钠暗物质探测实验	DAMA/NaI dark matter search experiment
DA型白矮星	DA white dwarf
DB型白矮星	DB white dwarf
DC型白矮星	DC white dwarf
DDO分类	DDO classification
DDO分类系统	全称：David Dunlap Observatory system。缩写：DDO system
