'Oumuamua	奥陌陌
1-mirror telescope	单反光面望远镜
1/f noise	1/f 噪声
10-day period	旬
10-meter-class telescope	10米级望远镜
11-year solar cycle	11年太阳活动周
12 Jupiter-stations	十二次
160-minute oscillation	160分钟振荡
2-body problem	二体问题
2-color photometry	二色测光
2-dimensional classification	二元分类
2-dimensional photometry	二维测光
2-lens objective	双合物镜
2-meter-class telescope	2米级望远镜
2-mirror telescope	二反光面望远镜
2-prism spectrograph	双棱镜摄谱仪
2-μ Sky Survey	缩写：TMSS。2微米巡天
2001 Mars Odyssey	2001火星奥德赛
21 Centimeter Array	缩写：21CMA。21厘米[射电望远镜]阵
21 cm forest	21厘米森林; 21厘米线丛
21 cm intensity mapping	21厘米强度映射
21 cm tomography	21厘米层析
21-cm radiation	21厘米辐射
21CMA	全称：21 Centimeter Array。21厘米[射电望远镜]阵
21cm line	21厘米谱线
22° halo	22°日晕
28 lunar mansions	二十八宿
2MASS	全称：Two Micron All Sky Survey。2微米全天巡视
2dF Galaxy Redshift Survey	缩写：2dFGRS。2度视场星系红移巡天
2dF Survey	全称：Two-degree-field redshift survey。2度视场红移巡天
2dFGRS	全称：Two-degree-Field Galaxy Redshift Survey; 2dF Galaxy Redshift Survey。2度视场星系红移巡天
3 kpc Arm	三千秒差距臂
3-axis mounting	三轴装置
3-body problem	三体问题
3-color photometry	三色测光
3-dimensional classification	三元分类
3-lens objective	三合物镜
3-mirror telescope	三反光面望远镜
3-prism spectrograph	三棱镜摄谱仪
3C catalogue	全称：Third Cambridge Catalogue of Radio Sources。第3剑桥射电源表; 3C射电源表
3K radiation	3K辐射
4-axis mounting	四轴装置
4-body problem	四体问题
4-color photometry	四色测光
4-dimensional universe	四维宇宙
4-meter-class telescope	4米级望远镜
4000 Å break	4000埃跳变
46° halo	46°日晕
4C catalogue	全称：Fourth Cambridge Survey catalogue。第4剑桥巡天星表; 4C星表
5-Kilometer Telescope	五千米射电望远镜
5-color photometry	五色测光
5-minute oscillation	五分钟振荡
6-color photometry	六色测光
6-meter-class telescope	6米级望远镜
6C survey	全称：Sixth Cambridge Survey of radio sources。第6剑桥射电源巡天
6dF Galaxy Survey	缩写：6dFGS。6度视场星系巡天
6dFGS	全称：Six-degree Field Galaxy Survey; 6dF Galaxy Survey。6度视场星系巡天
7-color photometry	七色测光
8-meter-class telescope	8米级望远镜
A Broadband Imaging X-ray All-sky Survey X-ray Satellite	缩写：ABRIXAS X-ray Satellite。ABRIXAS宽带成像X射线卫星
A band	A谱带
A coefficient	A系数
A dwarf star	A型矮星
A giant star	A型巨星
